Timevalue,Viable Cell Density,Glucose,Glutamine,Lactate,Ammonium,Product,Impurity 1,Impurity 2
56,50.11459261,10.15327728,0.098715565,19.76669804,4.027988019,0.220695051,0.587309104,0.195769701
56,50.11459261,10.15327728,0.098715565,19.76669804,4.027988019,0.220695051,0.587309104,0.195769701
56.00752879,50.11534977,10.16098095,0.099447415,19.7646544,4.027545425,0.220783022,0.587253246,0.195751082
56.01505759,50.11612176,10.1686792,0.100177795,19.76261615,4.027103757,0.22087092,0.58719758,0.195732527
56.03329592,50.11804965,10.18730693,0.101941406,19.75769954,4.026037437,0.221083571,0.587063482,0.195687827
56.05153426,50.12005415,10.20590663,0.103697425,19.7528108,4.024975907,0.221295851,0.586930379,0.19564346
56.0697726,50.12214116,10.22447612,0.105445268,19.74795205,4.023919536,0.221507729,0.586798349,0.19559945
56.09821237,50.12556368,10.25337061,0.108154079,19.74043677,4.022282815,0.221837305,0.586594655,0.195531552
56.14996176,50.13231188,10.305756,0.113031425,19.72695126,4.019337204,0.222434482,0.586230778,0.195410259
56.253559,50.14778616,10.40990058,0.122600214,19.70066977,4.013563558,0.223620473,0.585527878,0.195175959
56.35715624,50.16581482,10.51309741,0.131915003,19.67531837,4.007950221,0.224794142,0.584858189,0.19495273
56.46075348,50.18630685,10.61537441,0.140984453,19.65086442,4.00249174,0.225955968,0.584220529,0.194740176
56.56435072,50.20917282,10.7167591,0.149817094,19.62727584,3.99718274,0.227106426,0.583613737,0.194537912
56.68200941,50.23792716,10.83085181,0.159570418,19.60150115,3.991328752,0.228399749,0.582960793,0.194320264
56.79966809,50.26952618,10.94386062,0.169039071,19.57676453,3.985654479,0.229679566,0.582344837,0.194114946
56.91732678,50.30385081,11.05582235,0.178234464,19.55302313,3.980152724,0.230946513,0.581764316,0.193921439
57.19104667,50.39368707,11.31241212,0.198623301,19.50143931,3.967986892,0.233847175,0.58054357,0.193514523
57.46476656,50.49651605,11.56388156,0.217702532,19.45460705,3.956647894,0.23668773,0.579491641,0.19316388
57.73848646,50.61127576,11.81056218,0.235574818,19.41214213,3.946070878,0.239474002,0.578594626,0.192864875
58.01220635,50.73705103,12.05274119,0.252329061,19.37371254,3.936199633,0.242211073,0.577840516,0.192613505
58.28592625,50.87303776,12.29067224,0.268043725,19.33902576,3.9269845,0.24490346,0.577218729,0.192406243
58.55964614,51.01852017,12.52458224,0.282788944,19.3078208,3.918381057,0.247555222,0.576719828,0.192239943
58.83336603,51.17285667,12.75467557,0.296627835,19.27986317,3.910349295,0.250170033,0.576335333,0.192111778
59.10708593,51.33546954,12.98113719,0.309617454,19.25494124,3.902853022,0.25275123,0.576057597,0.192019199
59.38080582,51.5058366,13.20413514,0.321809569,19.23286331,3.895859375,0.255301855,0.575879689,0.191959896
59.65452571,51.68348396,13.42382269,0.333251336,19.21345504,3.889338397,0.257824691,0.575795311,0.19193177
59.92824561,51.86797988,13.64034021,0.343985874,19.19655727,3.88326268,0.260322292,0.575798713,0.191932904
60.2019655,52.05892949,13.85381677,0.354052755,19.18202414,3.877607055,0.262797008,0.575884627,0.191961542
60.47568539,52.25597033,14.06437145,0.363488424,19.16972151,3.872348326,0.265251013,0.57604821,0.19201607
60.89993302,52.57264035,14.38519689,0.376943175,19.15477649,3.864932642,0.269018257,0.576444967,0.192148322
61.32418065,52.90201947,14.69964102,0.389076053,19.14447576,3.858346534,0.272747378,0.577002538,0.192334179
61.74842827,53.24309806,15.00804202,0.399989684,19.13844346,3.852524574,0.27644453,0.577707367,0.192569122
62.1726759,53.59497972,15.31070281,0.409775581,19.13634513,3.847408377,0.280115209,0.578547395,0.192849132
62.81338323,54.14509167,15.75751441,0.422599498,19.13996641,3.840902978,0.285619513,0.580048272,0.193349424
63.45409056,54.71552718,16.19271156,0.433294093,19.15094601,3.835724604,0.291089958,0.58179936,0.19393312
64.0947979,55.30412178,16.61704655,0.442082456,19.16847275,3.831730775,0.296539825,0.58377147,0.19459049
64.73550523,55.90895189,17.03119444,0.449163119,19.1918256,3.828794706,0.301980836,0.585938674,0.195312891
65.37621256,56.52829708,17.43576474,0.454713747,19.2203599,3.826802969,0.307423365,0.588277808,0.196092603
66.01691989,57.1606137,17.83130957,0.458893719,19.25349774,3.825653852,0.312876601,0.590768124,0.196922708
66.65762723,57.80450883,18.2183318,0.461846698,19.29071841,3.825255735,0.318348691,0.593390947,0.197796982
68.19940011,59.39395356,19.11743524,0.464689859,19.39424114,3.826887729,0.331636169,0.600145973,0.200048658
69.19857379,60.44874233,19.67783219,0.463874782,19.46983554,3.829544296,0.340367435,0.604785908,0.201595303
70.19774747,61.5188068,20.22226673,0.461392771,19.55058262,3.833189835,0.349214703,0.609577218,0.203192406
71.19692114,62.60103656,20.75191901,0.457556684,19.63534486,3.837626387,0.358193041,0.614479349,0.20482645
72.19609482,63.69269275,21.26784332,0.452639525,19.72312837,3.842681683,0.367314791,0.619456939,0.206485646
73.1952685,64.79141281,21.77096782,0.446874543,19.81308329,3.848209005,0.376589643,0.624479831,0.208159944
74.54914635,66.28780714,22.43373925,0.438065446,19.93714116,3.856229064,0.389414542,0.631312294,0.210437431
75.90302419,67.78908274,23.07630465,0.428483742,20.06232512,3.864625556,0.402547566,0.638126942,0.212708981
77.25690204,69.29171762,23.70017884,0.418462742,20.18741829,3.873191828,0.415996686,0.644881161,0.214960387
78.61077989,70.79288444,24.30664369,0.408264741,20.31146413,3.881766498,0.429765486,0.65154173,0.217180577
79.96465773,72.29037427,24.89677499,0.398089932,20.43373516,3.890227618,0.443853868,0.65808369,0.21936123
81.31853558,73.78251907,25.47146879,0.388085015,20.55370222,3.898487086,0.458258689,0.664489235,0.221496412
82.67241343,75.2681027,26.03147068,0.378352597,20.6710003,3.906484604,0.472974407,0.670746468,0.223582156
84.02629128,76.74627329,26.57740417,0.368960259,20.78539541,3.914181877,0.487993674,0.676848206,0.225616069
85.38016912,78.21646654,27.10979546,0.359948382,20.89675572,3.921557616,0.503307849,0.682790935,0.227596978
86.73404697,79.67834104,27.62909409,0.35133667,21.00502751,3.928603385,0.518907399,0.688573939,0.229524646
88.08792482,81.13172361,28.13569032,0.343129564,21.11021503,3.935320172,0.534782235,0.694198571,0.231399524
89.44180266,82.57656353,28.62992956,0.335320715,21.21236372,3.941715555,0.550921972,0.699667646,0.233222549
90.79568051,84.01289526,29.11212408,0.327896579,21.31154679,3.947801446,0.567316132,0.704984956,0.234994985
92.14955836,85.44080935,29.58256206,0.320839178,21.40785474,3.953592349,0.5839543,0.71015489,0.236718297
93.5034362,86.86043056,30.04151449,0.314128149,21.50138759,3.959104085,0.600826228,0.715182156,0.238394052
94.85731405,88.27190206,30.48924007,0.307742198,21.59224929,3.964352883,0.617921909,0.720071576,0.240023859
96.2111919,89.67537433,30.92598869,0.301660095,21.68054397,3.969354767,0.635231619,0.72482795,0.241609317
98.65307761,92.18696184,31.6867368,0.291394238,21.83362455,3.977800267,0.666963292,0.733085065,0.244361688
101.0949633,94.67384754,32.41394921,0.281940531,21.97924242,3.985575039,0.699308493,0.740950455,0.246983485
103.536849,97.13677708,33.10898225,0.273201655,22.11790884,3.992752751,0.732217709,0.748448091,0.249482697
105.9787347,99.57640126,33.77315481,0.265094356,22.25008167,3.999397022,0.765644667,0.755599758,0.251866586
108.7453003,102.3129592,34.48996809,0.256582512,22.39250076,4.006349526,0.80408699,0.763309344,0.254436448
111.5118658,105.0210121,35.17062838,0.248705336,22.52763571,4.012754668,0.843079361,0.770626167,0.256875389
114.2784313,107.7011582,35.81687299,0.241391389,22.65595559,4.018669498,0.882567095,0.77757372,0.25919124
117.0449969,110.3539148,36.43037234,0.234580737,22.77788075,4.024142744,0.922499084,0.784173403,0.261391134
119.8115624,112.9797544,37.01272599,0.228220892,22.89379793,4.029217511,0.962827299,0.790445094,0.263481698
122.5781279,115.5790978,37.56546784,0.222267048,23.00405904,4.033931233,1.003506665,0.796407122,0.265469041
127.6201361,120.2494491,38.50142708,0.212335441,23.19150784,4.041699293,1.078410004,0.806531489,0.26884383
132.6621442,124.8351388,39.35217332,0.203431736,23.36298216,4.048542975,1.154105989,0.81577646,0.271925487
137.7041524,129.3380185,40.125315,0.195403474,23.52000878,4.054596896,1.230385512,0.824224452,0.274741484
142.7461605,133.7598209,40.82779711,0.188124489,23.66394924,4.05997368,1.307061567,0.83194945,0.277316483
147.7881686,138.1021668,41.46596362,0.18149077,23.79601773,4.064767498,1.383966876,0.839017891,0.27967263
152.8301768,142.3664753,42.04563667,0.17542581,23.91726263,4.069051472,1.460952332,0.845488187,0.281829396
